,hash,message,buggy
758,be25a7d,updated comment for fix neb by steve,0
759,04c9683,fix up and integrate documentation for contributed pair styles,0
760,8e0fd88,add example demonstrating the use of fix addtorque,0
761,4641c9e,Added basic documentation for grem fix,0
762,54963ba,allow fix momentum angular with CUDA,0
763,6d395ec,change name zhou to momb in docs  fix grammar,0
764,f890cdf,correct formatting in fix atc docs,0
765,1601433.0,cmake: fix lib suffix,0
766,1601433,cmake: fix lib suffix,0
767,0a6b33c,remove duplicate paragraph in nose-hoover fix docs,0
768,3bb3c1a,add pppm/kk and fix reax/c issues,0
769,3a054d1,Fix more typos in src files,0
770,7dd60f9,Fix typos in src files,0
771,dd76ac5,Fix typos in tools folder,0
772,21be86c,Fix typos in txt2html,0
773,2708c86,fix typos: moleclue -> molecule,0
774,45b85b1,updated version of fix latte from SJP,0
775,ea4f16b,additional fix external hooks for calling programs,0
776,28e8691,Made fix adapt work with bond_harmonic.,0
777,834731d,Propoaged SW cutoff fix into similar code elsewhere,0
778,5843be1,move fix bond/react to USER-MISC package,0
779,fe0bf70,Small bug fix for Kokkos charmm pair styles,0
780,d52c543,ignore installed copy of fix bond/react,0
781,79d5ca6,fix issues indicated by compiler warnings,0
782,e632f85,fix warning about enum comparisons,0
783,9f4e5e0,fix a CUDA constructor warning,0
784,65eacb6,Fix compilation warnings in fix_python,0
785,7f63c09,correct comment for Fix::ev_setup(),0
786,fd3ecd0,fix typo in formatting,0
787,a8ae886,update fix latte examples and virial,0
788,798fcac,update example for API change in Fix::copy_arrays(),0
789,92395000000000.0,disallow MC moves with fix rigid and fix shake active. update examples and add shake example,0
790,92395e9,disallow MC moves with fix rigid and fix shake active. update examples and add shake example,0
791,877a504,Fix typo in Section_howto.txt,0
792,c801cdd,some more formatting cleanup in fix neb,0
793,ddf678d,make fix gcmc command overview consistent,0
794,7d1de34,gatherv fix  doc updates,0
795,b7ddc86,Fix error in Manual.txt,0
796,950bfb8,Clean up after renaming back to fix python/move,0
797,e34b204,Fix a couple of typos in the docs,0
798,778a79b,Fix typos in examples folder,0
799,83c7d3a,update fix rigid documentation,0
800,88a882b,Added reference to fix rhok implimentation,0
801,68814d4,Made documentation changes to fix nvk,0
802,f7bdf12,cleaned fix latte,0
803,9acd35a,another change to fix poems,0
804,21364f3,gatherv fix  take 2,0
805,597f95f,fix duplicate reference,0
806,4bad52f,fix typos,0
807,08baaa9,Fix more typos in tools,0
808,f092da8,Fix some shadowing warnings,0
809,4560200000.0,fix another couple of typos,0
810,4beccf5,Move fix to USER-MISH,0
811,d680040,Fix more typos in examples,0
812,ef84239,fix typo,0
813,a5f830c,fix typo,0
814,091d058,Fix typo,0
815,77e0a84,fix an inconsistency and a typo,0
816,cd72532,fix typo,0
817,8a951f9,fix typo,0
818,e4ff812,fix typo,0
819,7bd089a,fix typo,0
820,ccca642,fix typo,0
821,7ddb667,fix typo,0
822,0427f62,fix typo,0
823,925f427,Fix typo,0
824,b4e2876,Fix typo,0
825,e2e21f0,Merge pull request #714 from Pakketeretet2/user-manifold-plane-wiggle-fix,0
826,bc3a84b,Merge pull request #727 from lammps/fix-gcmc-examples,0
827,86d17a5,Merge pull request #42 from akohlmey/redo-fix-ti-spring-fixes,0
828,e368acd,Merge pull request #700 from giacomofiorin/colvars-fix,0
829,d11363c,Merge pull request #220 from rbberger/fix-doc-makefile,0
830,50df3da,Merge pull request #3 from ibaned/fix-dpd-energy-kokkos-pr,0
831,c982b17,Merge pull request #49 from epfl-cosmo/fix-ipi,0
832,0c805d0,correctly skip over point particles and point dipoles when counting extendend particles in fix rigid/small,0
833,cdfb1aa,make links unique  fix doc format warnings and add entries to administrative files,0
834,dde94c2,new example scripts for fix gcmc,0
835,33d9a55,remove references to docs for fix ti/rs,0
836,c31f1e9,add fix mscg command  example  lib,0
837,bcc5f49,Rename fix python to fix python/invoke,0
838,f59ee5b,enable support for dynamic groups in fix planeforce and fix lineforce,0
839,fe8244c,Rename fix,0
840,906bd24,fix typos,0
841,0c53afb,more changes to fix rigid and fix poems,0
842,c9a0d38,mention restriction for use with fix shake or fix rigid in fix gcmc docs,0
843,7e42af1,Feature: AIREBO parametrize cutoff switching,0
844,bb40f63,we cannot add a fix while creating a fix. move fix addintion to Fix::init(),0
845,d2f7f48,AIREBO Fix Credits,0
846,d4c9e25,Ported Morse to KOKKOS,0
847,e6fcaef,Merge pull request #431 from v0i0/fix-airebo-morse,0
848,9ecc5c8,Merge branch 'fix-airebo-morse' of https://github.com/v0i0/lammps into pull-431,0
849,72b0841,Merge branch 'doc-updates' of github.com:akohlmey/lammps into doc-updates,0
850,9c5655d,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15130 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
851,8e4b5a1,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@12870 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
852,7a75cd1,Minor updates in documentation and setup tool  merge before upgrade to oxDNA2,0
853,e77e1f6,replace complex solution to implement a soft exit with simpler one,0
854,ffb8eb3,"Revert ""recognize any word starting with FP as FPRIME style table""",0
855,9ddbac1,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@11526 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
856,a99e3ef,cmake: fix typo and pkg info,0
857,1310438,Merge pull request #1 from akohlmey/pull-315,0
858,9ae8b64,Cleaned up  sna factorial table,0
859,b571f54,Merge pull request #850 from lammps/addlib,0
860,50733f2,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14148 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
861,2199974.0,',0
862,6000ad1,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14294 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
863,01acc93,',0
864,0a4b0ce,',0
865,1953fd7,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14143 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
866,eaa45f0,',0
867,869b8f9,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14145 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
868,449f373,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14165 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
869,0068c45,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14166 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
870,5bf8e1b,add ability to retrieve the number of local rows for computes returning local data,0
871,fd05571,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15410 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
872,36b3880,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14167 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
873,87ae491,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14144 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
874,5b5f839,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15409 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
875,3830813.0,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14147 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
876,7e710a0,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14290 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
877,7163eaf,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14142 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
878,a524d8c,Merge pull request #854 from lammps/readdump,0
879,bc1cf99,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14155 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
880,164537c,whitespace cleanup,0
881,4ce32a3,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14156 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
882,46e7b64,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14157 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
883,e512ca2,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14158 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
884,cee848f,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14164 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
885,7a68ceb,',0
886,4da6cce,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14291 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
887,b229c71,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14163 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
888,1a488ad,',0
889,1eeeb02,Small tweak for compatibility with different versions of lscpu,0
890,74a04c3,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14300 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
891,b13f9b8,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14301 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
892,d75b473,',0
893,8a10c55,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14139 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
894,069e25a,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14153 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
895,b5b0f67,Merge pull request #852 from akohlmey/collected-small-bugfixes-and-updates,0
896,2216401.0,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14299 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
897,a2604e2,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14152 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
898,f3dabd0,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14304 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
899,ab3fa39,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14302 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
900,636a690,',0
901,b73bfe9,',0
902,5775cf2,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14151 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
903,d1cbced,',0
904,32acf72,Simplified non-overlap condition,0
905,f1ee46c,add check to require atom attribute molecule to avoid segfaults  when it is missing,0
906,e028508,Simplified non-overlap condition,0
907,9f7fc76,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14297 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
908,bc33be3,',0
909,91b4075,docfix,0
910,d8c16fb,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14171 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
911,24da728,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14298 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
912,9cd043e,',0
913,9057c42,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14187 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
914,0eb2e8f,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14172 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
915,9841323.0,Added hexatic bond orientational order parameter,0
916,dee945c,cmake: bump openkim to v1.9.4,0
917,e2bc4d4,cmake: update latte to v1.1.1,0
918,c8c2f18,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14228 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
919,8f1487f,update lib/latte/Install.py to be consistent with CMake config,0
920,a248111,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14225 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
921,b4ff474,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14222 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
922,a4795df,complete integration of reset_ids into the documentation build system,0
923,260d9f4,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14221 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
924,354e20f,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14220 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
925,6e31b7d,doc typos,0
926,1b965d4,Merge pull request #863 from ellio167/kim-update,0
927,0aa7740,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14219 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
928,01e0bed,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14218 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
929,dbcf968,',0
930,8a47487,',0
931,7f9400e,Merge pull request #865 from athomps/fix_gcmc_temperature,0
932,70aba85,Updated compute hexorder/atom  added compute orientorder/atom,0
933,628190c,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14215 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
934,98a6849,',0
935,a1a97ef,',0
936,99dcf3c,',0
937,9dc8102,Updated compute hexorder/atom  added compute orientorder/atom,0
938,e476f89,Merge pull request #860 from lammps/doctweak,0
939,4e5fa8d,',0
940,7340e1b,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14208 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
941,4300274,Merge pull request #868 from junghans/latte,0
942,c28bd3c,Updated compute hexorder/atom  added compute orientorder/atom,0
943,f227080,Added hexatic bond orientational order parameter,0
944,bc49ce6,restore python3 compatibility,0
945,bfc0771,alphabetize correction in docs,0
946,72cd13a,cmake: add openkim build as external project,0
947,f71eee1,Added hexatic bond orientational order parameter,0
948,fa9af07,Added hexatic bond orientational order parameter,0
949,3bc7350,Added hexatic bond orientational order parameter,0
950,007123f,',0
951,d212245,Added hexatic bond orientational order parameter,0
952,4f71701,Added hexatic bond orientational order parameter,0
953,a91bbaf,Added hexatic bond orientational order parameter,0
954,24e0ca5,avoid warning about group all,0
955,b741a77,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14243 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
956,12bc841,remove or reformulate references to USER-CUDA package  which no longer exists,0
957,4fa95de,update logfiles for gcmc example inputs,0
958,2d4e0fc,purge deleted file in KIM package,0
959,aa4f044,Deallocate views of views in serial to prevent race condition in Kokkos profiling tools,0
960,8e3ba36,Merge pull request #866 from lammps/header-error-messages,0
961,7c9fe87,',0
962,5221ac2,add placeholders to include files for error messges,0
963,4517c85,Use reference to improve performance in pair_reaxc_kokkos,0
964,6d6d834,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14245 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
965,af8e258,Revert to previous code without plug-in interface,0
966,048f290,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14246 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
967,3c6102a,Tweak whitespace in Makefile.kokkos_cuda_mpi,0
968,a61df92,got rid of std:complex_literals i1,0
969,3f3bab4,Create KIM_LAMMPS_PlugIn.h & related changes,0
970,020fc66,Merge pull request #8 from lammps/master,0
971,0bfb6f0,Merge branch 'master' of github.com:lammps/lammps,0
972,7786cb5,patch 30Mar18,0
973,49d524e,Remove unused variables in pair_reaxc_kokkos,0
974,0035a69,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14207 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
975,2a1a318,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14206 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
976,cfbe572,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14173 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
977,58c70ec,',0
978,a165a3c,',0
979,48e42a4,Merge pull request #824 from jrgissing/write_data-noextra,0
980,81caeff,Merge pull request #855 from lammps/dumpinc,0
981,0a19b07,',0
982,d3096fc,',0
983,9e92038,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14182 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
984,574a328,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14272 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
985,88f58be,Added latest changes from Albert Bartok,0
986,336aa40,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14181 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
987,7f02cec,Small change,0
988,e993934,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14276 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
989,b45a8bb,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14180 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
990,b723066,',0
991,00738a8,Added average keyword,0
992,398f317,remove trailing whitespace,0
993,439af71,',0
994,bcf5604,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14177 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
995,9cf48b9,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14176 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
996,d815b39,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14175 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
997,f8d13ac,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14174 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
998,0984e94,Merge pull request #858 from junghans/fix_return,0
999,2a930da,Merge pull request #856 from akohlmey/fix_srp_bugfix,0
1000,6dff29b,remove files that were added in error last summer by a pull request,0
1001,09313cf,shift files into doc/src,0
1002,2271d91,Added missing normalization to vector case,0
1003,f7702fd,removed print statement,0
1004,5fd1767,new reset_ids command and dump_modify delay option,0
1005,a19e8fb,Merge branch 'master' into resetids,0
1006,238c17e,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14188 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1007,a27957c,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14201 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1008,8d4d517,',0
1009,27798d4,Updated compute hexorder/atom  added compute orientorder/atom,0
1010,cd714e6,',0
1011,16a90f2,',0
1012,99c4b4c,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14258 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1013,ff974eb,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14200 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1014,f04945d,',0
1015,52ceb41,',0
1016,815751.0,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14197 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1017,d7e2bb3,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14259 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1018,f496b51,Changed the factorial table to static member,0
1019,61678ee,',0
1020,e3c4db7,',0
1021,f6c76f4,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14265 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1022,e53f61a,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14196 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1023,46755d0,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14195 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1024,bc0fd54,add info to compute heat/flux doc page,0
1025,77f8955,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14266 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1026,df128b0,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14194 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1027,7a9ae37,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14192 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1028,021a327,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14191 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1029,0bdd0e3,',0
1030,7189cdd,',0
1031,b857237,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14269 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1032,b10ae0a,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14270 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1033,6027de5,Merge pull request #870 from lammps/doc-tweak,0
1034,ee5ad9c,Merge pull request #857 from lammps/resetids,0
1035,355ba86,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14271 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1036,34e1f5c,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14227 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1037,c3588f0,provide keyword/value option to compute ackland/atom for selecting legacy or current variant of implementation,0
1038,abe4c06,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14138 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1039,e2ac7b2,Updating Kokkos library--first deleting old folder,0
1040,cd86153,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13910 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1041,06f25e6,',0
1042,7e8fff9,',0
1043,3e90c3e,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13913 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1044,e3cfdfd,',0
1045,fbaff8e,',0
1046,8dae768,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13918 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1047,27b4742,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13919 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1048,5670dc5,replace variable length array in msm with new/delete,0
1049,cb6baee,',0
1050,494ee3b,Updating Kokkos library--adding new folder,0
1051,e4e5261,Adding optimizations to Kokkos EAM pair style,0
1052,f842d1b,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13924 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1053,3fcbe43,Commented out line (temporarily) that causes a segmentation fault in the USER-AWPMD library,0
1054,fec0587,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13926 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1055,01004c3,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13927 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1056,1d54c93,replace variable length array with new/delete in PNG support of dump image,0
1057,717ecf0,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13928 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1058,56d0cae,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13909 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1059,185e746,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13908 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1060,071ded9,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13907 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1061,21f8abd,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13906 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1062,6da9e4c,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13891 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1063,dc2ebd0,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13892 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1064,c83fedf,replace variable length array in Molecule class with new/delete,0
1065,a4c8c59,',0
1066,bcaafc2,',0
1067,e242b37,cast implicit string objects to char * for C++ standard compliance,0
1068,4d19041,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13895 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1069,9a4a5c1,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13896 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1070,83c1ac6,',0
1071,7be9bc3,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13900 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1072,16eed7a,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13902 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1073,2f55b6d,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13903 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1074,1c3e0db,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13904 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1075,9a389c9,replace variable length arrays in fix rx of USER-DPD with new/delete,0
1076,1b31b48,replace variable length arrays in pair style tdpd with new/delete,0
1077,345c212,replace variable length arrays in compute basal/atom with new/delete,0
1078,c85a42a,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13905 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1079,330f29d,replace variable length arrays in USER-PHONON with new/delete,0
1080,f5388bb,',0
1081,6353450.0,',0
1082,90a3eb3,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13955 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1083,546ccbe,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13957 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1084,272640d,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13958 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1085,fa37609,',0
1086,f945c6d,',0
1087,4d13f3d,',0
1088,34c599b,',0
1089,d95acac,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13964 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1090,c20049b,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13965 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1091,21a6d44,',0
1092,6e4f2fd,',0
1093,c5ff6e6,',0
1094,1a435a4,',0
1095,4bd3fe8,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13971 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1096,3131840.0,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13972 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1097,844858d,2nd set of updates,0
1098,2b8576c,first updates,0
1099,36018a3,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13975 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1100,c9188c0,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13956 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1101,59520bb,',0
1102,3841dd5,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13931 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1103,a47262d,',0
1104,16d803e,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13932 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1105,01447fe,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13933 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1106,962dd0d,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13934 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1107,ce59e32,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13937 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0
1108,eee480c,',0
1109,75cf1f5,',0
